"id","latitude","longitude","tof_mm","sonic_mm","temperature","sonic_raw_mm","tof_raw_mm","accel_raw_x","accel_raw_y","accel_raw_z","measured_at"
"470",NULL,NULL,NULL,"566","18.21","178","0","-0.0273","-0.1755","1.0179","2026-05-28 08:04:30"
"469",NULL,NULL,NULL,"569","18.14","166","0","-0.0312","-0.1677","1.0179","2026-05-28 08:04:30"
"468",NULL,NULL,NULL,"563","18.14","166","0","-0.0351","-0.1677","1.0218","2026-05-28 08:04:30"
"467",NULL,NULL,NULL,"563","18.13","166","0","-0.0312","-0.1716","1.0179","2026-05-28 08:04:30"
"466",NULL,NULL,NULL,"569","18.16","175","0","-0.0351","-0.1677","1.0218","2026-05-28 08:04:30"
"465",NULL,NULL,NULL,"569","18.14","166","0","-0.0312","-0.1677","1.0179","2026-05-28 08:04:30"
"464",NULL,NULL,NULL,"569","18.14","172","0","-0.0351","-0.1677","1.0179","2026-05-28 08:04:30"
"463",NULL,NULL,NULL,"556","18.14","149","0","-0.0312","-0.1677","1.0101","2026-05-28 08:04:30"
"462",NULL,NULL,NULL,"3","18.15","175","0","-0.0351","-0.1677","1.014","2026-05-28 08:04:30"
"461",NULL,NULL,NULL,"3","18.26","733","0","-0.0312","-0.1677","1.014","2026-05-28 08:04:30"
"460",NULL,NULL,NULL,"3","18.20","736","0","-0.0351","-0.1638","1.0179","2026-05-28 08:04:25"
"459",NULL,NULL,NULL,"3","18.20","732","0","-0.0351","-0.1716","1.0257","2026-05-28 08:04:25"
"458",NULL,NULL,NULL,"3","18.21","732","0","-0.0351","-0.1677","1.0179","2026-05-28 08:04:25"
"457",NULL,NULL,NULL,"3","18.22","732","0","-0.0312","-0.1677","1.0179","2026-05-28 08:04:25"
"456",NULL,NULL,NULL,"3","18.17","736","0","-0.0351","-0.1599","1.014","2026-05-28 08:04:25"
"455",NULL,NULL,NULL,"3","18.17","732","0","-0.0351","-0.1716","1.0179","2026-05-28 08:04:25"
"454",NULL,NULL,NULL,"3","18.21","736","0","-0.0312","-0.1755","1.014","2026-05-28 08:04:25"
"453",NULL,NULL,NULL,"1","18.19","735","0","-0.039","-0.1677","1.0218","2026-05-28 08:04:25"
"452",NULL,NULL,NULL,"1","18.18","732","0","-0.0273","-0.1716","1.0101","2026-05-28 08:04:25"
"451",NULL,NULL,NULL,"0","18.10","736","0","-0.0351","-0.1716","1.014","2026-05-28 08:04:25"
"450",NULL,NULL,"579",NULL,"18.30","0","230","-0.0429","-0.1638","1.0218","2026-05-28 08:03:53"
"449",NULL,NULL,"580",NULL,"18.29","0","238","-0.0312","-0.1521","1.0374","2026-05-28 08:03:53"
"448",NULL,NULL,"574",NULL,"18.28","0","231","-0.0312","-0.1521","1.0296","2026-05-28 08:03:53"
"447",NULL,NULL,"328",NULL,"18.32","0","293","-0.0273","-0.156","1.0374","2026-05-28 08:03:53"
"446",NULL,NULL,"0",NULL,"18.28","0","833","-0.0312","-0.1482","1.0335","2026-05-28 08:03:53"
